Par
AUD_CHF
AUD_HKD
AUD_CAD
AUD_JPY
AUD_NZD
AUD_SGD
CAD_CHF
CAD_HKD
CAD_JPY
CAD_SGD
CHF_HKD
CHF_JPY
CHF_ZAR
EUR_AUD
EUR_CAD
EUR_CHF
EUR_CZK
EUR_DKK
EUR_GBP
EUR_HKD
EUR_HUF
EUR_JPY
EUR_NOK
EUR_NZD
EUR_PLN
EUR_SEK
EUR_SGD
EUR_TRY
EUR_USD
EUR_ZAR
GBP_AUD
GBP_CHF
GBP_CAD
GBP_HKD
GBP_PLN
GBP_SGD
GBP_USD
GBP_ZAR
HKD_JPY
NZD_CAD
NZD_HKD
NZD_JPY
NZD_SGD
NZD_USD
SGD_CHF
SGD_JPY
TRY_JPY
USD_CAD
USD_CHF
USD_CNH
USD_CZK
USD_DKK
USD_HUF
USD_PLN
USD_SEK
USD_SGD
USD_THB
USD_TRY
USD_ZAR
USD_JPY
ZAR_JPY
