time,close,open,low,high,volume,spread
2005-01-01 23:00:00,9.01,9.01,9.01,9.01,185.0,0.019999999999999574
2005-01-02 23:00:00,9.034,9.01,8.9736,9.0345,16815.0,0.004999999999999005
2005-01-03 23:00:00,9.0506,9.034,9.0225,9.0717,24359.0,0.005000000000000782
2005-01-04 23:00:00,9.025,9.0506,9.0181,9.0703,23037.0,0.004999999999999005
2005-01-05 23:00:00,9.0574,9.025,9.022,9.0604,19145.0,0.005000000000000782
2005-01-06 23:00:00,9.0315,9.0574,9.0038,9.062,23370.0,0.02000000000000135
2005-01-08 23:00:00,9.031,9.031,9.031,9.031,82.0,0.019999999999999574
2005-01-09 23:00:00,9.0421,9.031,9.022,9.0649,17985.0,0.005000000000000782
2005-01-10 23:00:00,9.0335,9.0421,9.0124,9.0521,20286.0,0.005000000000000782
2005-01-11 23:00:00,9.0497,9.0335,9.0204,9.0607,20820.0,0.005000000000000782
2005-01-12 23:00:00,9.0515,9.0497,9.0367,9.0566,19185.0,0.004999999999999005
2005-01-13 23:00:00,9.0499,9.0515,9.0352,9.0622,25144.0,0.02000000000000135
2005-01-15 23:00:00,9.0506,9.0491,9.0491,9.0525,224.0,0.02000000000000135
2005-01-16 23:00:00,9.0583,9.0506,9.0397,9.0664,13142.0,0.005000000000000782
2005-01-17 23:00:00,9.0349,9.0583,9.0247,9.0634,22501.0,0.004999999999999005
2005-01-18 23:00:00,9.0195,9.0349,9.0115,9.0467,22048.0,0.004999999999999005
2005-01-19 23:00:00,9.0535,9.0195,9.0147,9.0543,22509.0,0.005000000000000782
2005-01-20 23:00:00,9.0518,9.0535,9.0342,9.072,22484.0,0.019999999999999574
2005-01-21 23:00:00,9.0518,9.0518,9.0517,9.0519,59.0,0.019999999999999574
2005-01-22 23:00:00,9.0535,9.0535,9.0531,9.0536,115.0,0.019999999999999574
2005-01-23 23:00:00,9.065,9.0535,9.046,9.0855,19707.0,0.005000000000000782
2005-01-24 23:00:00,9.0753,9.065,9.0618,9.0824,22051.0,0.004999999999999005
2005-01-25 23:00:00,9.0732,9.0753,9.0685,9.0869,20999.0,0.005000000000000782
2005-01-26 23:00:00,9.0829,9.0732,9.0596,9.0897,20851.0,0.004999999999999005
2005-01-27 23:00:00,9.0982,9.0829,9.0818,9.106,19459.0,0.019999999999999574
2005-01-28 23:00:00,9.0982,9.0983,9.0981,9.0983,69.0,0.019999999999999574
2005-01-29 23:00:00,9.0922,9.0922,9.0922,9.0922,1.0,0.019999999999999574
2005-01-30 23:00:00,9.1095,9.0922,9.0892,9.111,19521.0,0.004999999999999005
2005-01-31 23:00:00,9.0872,9.1095,9.0787,9.11,18084.0,0.005000000000000782
2005-02-01 23:00:00,9.073,9.0872,9.0667,9.091,19190.0,0.004999999999999005
2005-02-02 23:00:00,9.0815,9.073,9.0598,9.0845,18653.0,0.004999999999999005
2005-02-03 23:00:00,9.065,9.0815,9.065,9.0872,19123.0,0.02000000000000135
2005-02-04 23:00:00,9.065,9.0651,9.0649,9.0651,63.0,0.02000000000000135
2005-02-05 23:00:00,9.0651,9.0668,9.0635,9.067,340.0,0.02000000000000135
2005-02-06 23:00:00,9.0847,9.0651,9.0625,9.087,18276.0,0.005000000000000782
2005-02-07 23:00:00,9.081,9.0847,9.0795,9.091,16323.0,0.005000000000000782
2005-02-08 23:00:00,9.0702,9.081,9.0606,9.0858,19297.0,0.005000000000000782
2005-02-09 23:00:00,9.0947,9.0703,9.0641,9.096,20128.0,0.005000000000000782
2005-02-10 23:00:00,9.0912,9.0947,9.08,9.1017,15391.0,0.019999999999999574
2005-02-11 23:00:00,9.0912,9.0912,9.0912,9.0912,1.0,0.019999999999999574
2005-02-12 23:00:00,9.0886,9.0895,9.0885,9.0895,106.0,0.019999999999999574
2005-02-13 23:00:00,9.0748,9.0885,9.0726,9.1071,17469.0,0.005000000000000782
2005-02-14 23:00:00,9.0709,9.0748,9.0654,9.0809,19120.0,0.005000000000000782
2005-02-15 23:00:00,9.082,9.0709,9.0625,9.091,20478.0,0.004999999999999005
2005-02-16 23:00:00,9.0965,9.082,9.0805,9.1125,19025.0,0.004999999999999005
2005-02-17 23:00:00,9.1005,9.0965,9.0738,9.1125,17072.0,0.019999999999999574
2005-02-19 23:00:00,9.098,9.099,9.0975,9.099,240.0,0.019999999999999574
2005-02-20 23:00:00,9.106,9.0975,9.0943,9.12,9685.0,0.005000000000000782
2005-02-21 23:00:00,9.101,9.106,9.0806,9.1085,19847.0,0.004999999999999005
2005-02-22 23:00:00,9.0826,9.101,9.082,9.1048,21669.0,0.005000000000000782
2005-02-23 23:00:00,9.0678,9.0826,9.0619,9.0852,20508.0,0.005000000000000782
2005-02-24 23:00:00,9.062,9.0678,9.0572,9.0809,18857.0,0.02000000000000135
2005-02-26 23:00:00,9.0617,9.0617,9.0617,9.0617,44.0,0.019999999999999574
2005-02-27 23:00:00,9.059,9.0617,9.041,9.0716,18606.0,0.005000000000000782
2005-02-28 23:00:00,9.0565,9.059,9.0425,9.0615,18854.0,0.005000000000000782
2005-03-01 23:00:00,9.0671,9.0565,9.0495,9.0811,17215.0,0.005000000000000782
2005-03-02 23:00:00,9.0404,9.0671,9.033,9.0736,15736.0,0.005000000000000782
2005-03-03 23:00:00,9.0308,9.0404,9.026,9.054,15528.0,0.02000000000000135
2005-03-04 23:00:00,9.0308,9.0308,9.0308,9.0308,1.0,0.02000000000000135
2005-03-05 23:00:00,9.0294,9.0303,9.0292,9.0303,108.0,0.019999999999999574
2005-03-06 23:00:00,9.0305,9.0294,9.028,9.0463,13544.0,0.005000000000000782
2005-03-07 23:00:00,9.0278,9.0305,9.0225,9.052,16011.0,0.005000000000000782
2005-03-08 23:00:00,9.0495,9.0278,9.0193,9.056,19390.0,0.005000000000000782
2005-03-09 23:00:00,9.072,9.0495,9.0487,9.0772,21333.0,0.005000000000000782
2005-03-10 23:00:00,9.0578,9.072,9.0551,9.0768,18113.0,0.019999999999999574
2005-03-11 23:00:00,9.058,9.058,9.058,9.058,1.0,0.019999999999999574
2005-03-12 23:00:00,9.0612,9.058,9.058,9.0612,155.0,0.02000000000000135
2005-03-13 23:00:00,9.095,9.0612,9.0607,9.0993,17221.0,0.004999999999999005
2005-03-14 23:00:00,9.0929,9.095,9.0841,9.1055,19055.0,0.004999999999999005
2005-03-15 23:00:00,9.0946,9.0929,9.0841,9.1,15891.0,0.005000000000000782
2005-03-16 23:00:00,9.0961,9.0946,9.0893,9.1103,15099.0,0.005000000000000782
2005-03-17 23:00:00,9.117,9.0961,9.0938,9.1259,13484.0,0.019999999999999574
2005-03-19 23:00:00,9.1118,9.1115,9.1086,9.1118,227.0,0.019999999999999574
2005-03-20 23:00:00,9.1278,9.1118,9.1115,9.1448,15513.0,0.004999999999999005
2005-03-21 23:00:00,9.1303,9.1295,9.116,9.1413,15319.0,0.005000000000000782
2005-03-22 23:00:00,9.117,9.1303,9.1035,9.1325,17381.0,0.004999999999999005
2005-03-23 23:00:00,9.1188,9.117,9.1006,9.1273,15146.0,0.004999999999999005
2005-03-24 23:00:00,9.1125,9.1188,9.11,9.1292,3959.0,0.019999999999999574
2005-03-26 23:00:00,9.1163,9.1163,9.116,9.1166,157.0,0.019999999999999574
2005-03-28 00:00:00,9.1088,9.1163,9.101,9.1215,9955.0,0.004999999999999005
2005-03-29 00:00:00,9.1281,9.1088,9.1082,9.1356,14335.0,0.005000000000000782
2005-03-30 00:00:00,9.1241,9.1281,9.1236,9.1419,15027.0,0.004999999999999005
2005-03-31 00:00:00,9.1686,9.1241,9.1231,9.1697,15020.0,0.005000000000000782
2005-04-01 00:00:00,9.1625,9.1686,9.1531,9.1769,15291.0,0.019999999999999574
2005-04-03 00:00:00,9.1607,9.1587,9.1587,9.162,68.0,0.019999999999999574
2005-04-03 23:00:00,9.1782,9.1607,9.1562,9.1825,12182.0,0.004999999999999005
2005-04-04 23:00:00,9.1737,9.1782,9.1637,9.1795,13158.0,0.004999999999999005
