time,close,open,low,high,volume,spread
2005-01-01 23:00:00,7.6275,7.6331,7.5968,7.6388,357.0,0.09999999999999964
2005-01-02 23:00:00,7.5878,7.6275,7.5557,7.6549,41928.0,0.05000000000000071
2005-01-03 23:00:00,7.7166,7.5878,7.5732,7.8134,46435.0,0.05000000000000071
2005-01-04 23:00:00,7.8394,7.7166,7.6913,7.9316,44154.0,0.02999999999999936
2005-01-05 23:00:00,8.0528,7.839,7.8101,8.0906,42425.0,0.030000000000001137
2005-01-06 23:00:00,7.8966,8.0522,7.896,8.068,41448.0,0.09999999999999964
2005-01-08 23:00:00,7.9071,7.8954,7.8936,7.9209,199.0,0.09999999999999964
2005-01-09 23:00:00,7.8453,7.9059,7.8091,7.9492,37745.0,0.03000000000000025
2005-01-10 23:00:00,7.7985,7.8459,7.7802,7.8835,39504.0,0.03000000000000025
2005-01-11 23:00:00,7.8761,7.7991,7.7773,7.9551,40628.0,0.03000000000000025
2005-01-12 23:00:00,7.9641,7.8767,7.8502,7.9882,40678.0,0.03000000000000025
2005-01-13 23:00:00,7.8723,7.9629,7.8305,8.0365,50788.0,0.09999999999999964
2005-01-15 23:00:00,7.883,7.8693,7.8639,7.885,861.0,0.09999999999999964
2005-01-16 23:00:00,7.8776,7.883,7.8478,7.9668,26656.0,0.03000000000000025
2005-01-17 23:00:00,7.9199,7.8776,7.8372,7.9503,41794.0,0.03000000000000025
2005-01-18 23:00:00,7.8493,7.9193,7.8241,7.9314,42373.0,0.02999999999999936
2005-01-19 23:00:00,7.8445,7.8493,7.8176,7.9489,41953.0,0.03000000000000025
2005-01-20 23:00:00,7.7545,7.8439,7.7434,7.8928,39553.0,0.09999999999999964
2005-01-21 23:00:00,7.7533,7.7533,7.7533,7.7533,2.0,0.09999999999999964
2005-01-22 23:00:00,7.7359,7.7563,7.7207,7.7635,452.0,0.09999999999999964
2005-01-23 23:00:00,7.7421,7.7359,7.7213,7.8163,38532.0,0.03000000000000025
2005-01-24 23:00:00,7.7309,7.7421,7.7014,7.7753,42752.0,0.03000000000000025
2005-01-25 23:00:00,7.7491,7.7315,7.7185,7.7979,38259.0,0.02999999999999936
2005-01-26 23:00:00,7.73,7.7491,7.7093,7.7722,38645.0,0.02999999999999936
2005-01-27 23:00:00,7.694,7.7288,7.6907,7.7716,35682.0,0.09999999999999964
2005-01-29 23:00:00,7.7047,7.6893,7.6893,7.7116,258.0,0.10000000000000053
2005-01-30 23:00:00,7.7792,7.7047,7.6856,7.798,37362.0,0.04999999999999982
2005-01-31 23:00:00,7.8465,7.7792,7.7651,7.8855,38221.0,0.04999999999999982
2005-02-01 23:00:00,7.8303,7.8471,7.8223,7.8948,37684.0,0.04999999999999982
2005-02-02 23:00:00,7.9307,7.8309,7.8162,8.0243,34282.0,0.03000000000000025
2005-02-03 23:00:00,7.8992,7.93,7.8785,8.0304,35400.0,0.09999999999999964
2005-02-04 23:00:00,7.8257,7.8986,7.8257,7.8998,90.0,0.09999999999999964
2005-02-05 23:00:00,7.8846,7.9001,7.8827,7.902,570.0,0.10000000000000053
2005-02-06 23:00:00,7.9124,7.8853,7.8634,7.9598,37652.0,0.04999999999999982
2005-02-07 23:00:00,7.97,7.9124,7.9067,8.0069,35941.0,0.04999999999999982
2005-02-08 23:00:00,7.9662,7.97,7.9303,7.9995,35612.0,0.03000000000000025
2005-02-09 23:00:00,7.8633,7.9656,7.8616,7.989,37088.0,0.03500000000000014
2005-02-10 23:00:00,7.7858,7.8633,7.7784,7.9022,33325.0,0.09999999999999964
2005-02-11 23:00:00,7.7858,7.7858,7.7858,7.7858,2.0,0.09999999999999964
2005-02-12 23:00:00,7.8005,7.7898,7.7867,7.8011,212.0,0.09999999999999964
2005-02-13 23:00:00,7.8251,7.8005,7.7881,7.87,36408.0,0.03000000000000025
2005-02-14 23:00:00,7.7523,7.8355,7.7282,7.87,41162.0,0.03000000000000025
2005-02-15 23:00:00,7.7573,7.7523,7.7368,7.841,41901.0,0.03500000000000014
2005-02-16 23:00:00,7.7471,7.7573,7.7373,7.8072,38738.0,0.03000000000000025
2005-02-17 23:00:00,7.6985,7.7471,7.6749,7.7923,33416.0,0.09999999999999964
2005-02-19 23:00:00,7.7012,7.6961,7.6881,7.7102,371.0,0.09999999999999964
2005-02-20 23:00:00,7.7378,7.7012,7.7012,7.7726,20735.0,0.03000000000000025
2005-02-21 23:00:00,7.6438,7.7378,7.5985,7.7885,43210.0,0.040000000000000036
2005-02-22 23:00:00,7.645,7.6438,7.6146,7.706,40942.0,0.040000000000000036
2005-02-23 23:00:00,7.662,7.645,7.6329,7.7277,42821.0,0.03500000000000014
2005-02-24 23:00:00,7.6191,7.662,7.6191,7.7369,40464.0,0.09999999999999964
2005-02-25 23:00:00,7.6191,7.6191,7.6191,7.6191,2.0,0.09999999999999964
2005-02-26 23:00:00,7.6525,7.6179,7.6153,7.6537,121.0,0.10000000000000053
2005-02-27 23:00:00,7.6757,7.6525,7.6403,7.7073,39117.0,0.040000000000000036
2005-02-28 23:00:00,7.6853,7.6763,7.6403,7.7365,39554.0,0.040000000000000036
2005-03-01 23:00:00,7.7418,7.6853,7.6587,7.7714,41476.0,0.03500000000000014
2005-03-02 23:00:00,7.7917,7.7418,7.7306,7.827,38156.0,0.03500000000000014
2005-03-03 23:00:00,7.6693,7.7917,7.6635,7.8589,35044.0,0.10000000000000053
2005-03-04 23:00:00,7.6693,7.6693,7.6693,7.6693,1.0,0.10000000000000053
2005-03-05 23:00:00,7.6931,7.6698,7.6669,7.7026,209.0,0.09999999999999964
2005-03-06 23:00:00,7.723,7.6931,7.6913,7.7859,34471.0,0.03000000000000025
2005-03-07 23:00:00,7.6994,7.7236,7.6813,7.7513,38190.0,0.03000000000000025
2005-03-08 23:00:00,7.7025,7.6994,7.6626,7.7565,40308.0,0.03000000000000025
2005-03-09 23:00:00,7.8114,7.7025,7.635,7.9018,46746.0,0.03500000000000014
2005-03-10 23:00:00,7.8291,7.8114,7.7639,7.8799,34423.0,0.09999999999999964
2005-03-12 23:00:00,7.8086,7.8323,7.8056,7.8341,186.0,0.09999999999999964
2005-03-13 23:00:00,7.9747,7.8091,7.8015,7.9985,40071.0,0.02999999999999936
2005-03-14 23:00:00,8.1087,7.9753,7.955,8.141,41626.0,0.03999999999999915
2005-03-15 23:00:00,8.1397,8.1087,8.0811,8.2031,42575.0,0.03500000000000014
2005-03-16 23:00:00,8.0965,8.1397,8.0483,8.2645,43305.0,0.03500000000000014
2005-03-17 23:00:00,8.0176,8.0965,7.9343,8.1419,36427.0,0.09999999999999964
2005-03-19 23:00:00,7.9836,8.0192,7.9824,8.0192,458.0,0.10000000000000053
2005-03-20 23:00:00,8.0274,7.9836,7.9726,8.1229,37518.0,0.02999999999999936
2005-03-21 23:00:00,8.122,8.028,7.9685,8.1405,41043.0,0.02999999999999936
2005-03-22 23:00:00,8.0609,8.1226,8.025,8.1667,46326.0,0.03500000000000014
2005-03-23 23:00:00,8.028,8.0609,8.0154,8.108,39888.0,0.03500000000000014
2005-03-24 23:00:00,7.9837,8.028,7.9837,8.0698,6117.0,0.10000000000000053
2005-03-26 23:00:00,7.9871,7.9803,7.9803,7.9874,274.0,0.09999999999999964
2005-03-28 00:00:00,8.1852,7.9871,7.9827,8.2041,16685.0,0.03500000000000014
2005-03-29 00:00:00,8.1624,8.1853,8.1327,8.2492,42973.0,0.03500000000000014
2005-03-30 00:00:00,8.1176,8.1624,8.0847,8.2052,45366.0,0.03500000000000014
2005-03-31 00:00:00,8.0708,8.1176,8.0367,8.1462,44427.0,0.03500000000000014
2005-04-01 00:00:00,8.0129,8.0708,7.9652,8.0774,41905.0,0.09999999999999964
2005-04-03 00:00:00,8.0007,8.0101,8.0007,8.0101,66.0,0.09999999999999964
2005-04-03 23:00:00,7.9929,8.0007,7.969,8.0318,39977.0,0.03500000000000103
2005-04-04 23:00:00,7.9472,7.9929,7.9236,8.0447,38202.0,0.03500000000000014
2005-04-05 23:00:00,7.8773,7.9665,7.8349,7.9667,39856.0,0.03500000000000014
2005-04-06 23:00:00,7.8701,7.878,7.8479,7.9264,41964.0,0.03500000000000014
2005-04-07 23:00:00,7.9016,7.8701,7.8227,7.9564,38815.0,0.09999999999999964
2005-04-08 23:00:00,7.9016,7.9016,7.9016,7.9016,2.0,0.09999999999999964
2005-04-09 23:00:00,7.9067,7.8958,7.8952,7.9297,236.0,0.10000000000000053
2005-04-10 23:00:00,7.9656,7.9067,7.8348,7.9941,39017.0,0.03500000000000014
2005-04-11 23:00:00,7.9084,7.9656,7.8988,8.0185,41609.0,0.034999999999999254
2005-04-12 23:00:00,7.8842,7.9078,7.8777,7.9465,41567.0,0.03500000000000014
2005-04-13 23:00:00,8.0248,7.8848,7.8682,8.0689,44840.0,0.034999999999998366
2005-04-14 23:00:00,8.0628,8.0248,8.004,8.1406,41817.0,0.10000000000000142
2005-04-16 23:00:00,8.0446,8.0556,8.0357,8.0588,268.0,0.09999999999999964
2005-04-17 23:00:00,8.1368,8.0446,8.0424,8.1625,41854.0,0.030000000000001137
2005-04-18 23:00:00,8.0455,8.1368,8.0345,8.157,42292.0,0.02999999999999936
2005-04-19 23:00:00,7.9366,8.0448,7.9316,8.0688,43275.0,0.024999999999999467
2005-04-20 23:00:00,7.9344,7.9366,7.9079,7.9974,44077.0,0.024999999999999467
2005-04-21 23:00:00,7.8524,7.9344,7.845,7.953,39348.0,0.09999999999999964
2005-04-22 23:00:00,7.8518,7.8518,7.8518,7.8518,2.0,0.10000000000000053
2005-04-23 23:00:00,7.8597,7.8536,7.8487,7.8654,436.0,0.09999999999999964
2005-04-24 23:00:00,7.8679,7.8603,7.8355,7.9116,40971.0,0.03000000000000025
2005-04-25 23:00:00,7.9059,7.8679,7.8582,7.96,39752.0,0.03000000000000025
2005-04-26 23:00:00,7.8458,7.9052,7.8335,7.911,39439.0,0.03000000000000025
2005-04-27 23:00:00,7.9101,7.8458,7.8181,7.9376,41774.0,0.012500000000000178
2005-04-28 23:00:00,7.7923,7.9095,7.7804,7.9322,42227.0,0.09999999999999964
2005-04-30 23:00:00,7.7862,7.7899,7.7701,7.7899,221.0,0.09999999999999964
2005-05-01 23:00:00,7.8237,7.7862,7.7542,7.8584,14304.0,0.03000000000000025
2005-05-02 23:00:00,7.8144,7.8237,7.7962,7.8921,38674.0,0.03000000000000025
2005-05-03 23:00:00,7.7377,7.8144,7.7271,7.8929,43901.0,0.019999999999999574
2005-05-04 23:00:00,7.6858,7.7383,7.6752,7.7667,41493.0,0.02999999999999936
2005-05-05 23:00:00,7.6715,7.6864,7.6601,7.7991,36997.0,0.09999999999999964
2005-05-06 23:00:00,7.6715,7.6715,7.6715,7.6715,2.0,0.09999999999999964
2005-05-07 23:00:00,7.6706,7.67,7.6676,7.6712,203.0,0.09999999999999964
2005-05-08 23:00:00,7.8501,7.6706,7.6471,7.8765,39188.0,0.01499999999999968
2005-05-09 23:00:00,7.9194,7.8507,7.8352,7.9675,40209.0,0.024999999999999467
2005-05-10 23:00:00,7.9318,7.9194,7.8947,7.9688,37866.0,0.025000000000000355
2005-05-11 23:00:00,7.961,7.9318,7.8974,7.9873,35504.0,0.019999999999999574
2005-05-12 23:00:00,7.9461,7.961,7.9341,8.0184,35149.0,0.09999999999999876
2005-05-13 23:00:00,7.9461,7.9461,7.9461,7.9461,2.0,0.09999999999999876
2005-05-14 23:00:00,7.9419,7.9417,7.928,7.9508,1098.0,0.09999999999999964
2005-05-15 23:00:00,8.0381,7.9425,7.9118,8.0661,39334.0,0.025000000000000355
2005-05-16 23:00:00,8.098,8.0388,8.02,8.1394,41842.0,0.02499999999999858
2005-05-17 23:00:00,8.1084,8.098,8.0631,8.1289,40367.0,0.025000000000000355
2005-05-18 23:00:00,8.0727,8.1084,7.9903,8.1161,34241.0,0.025000000000000355
2005-05-19 23:00:00,8.1439,8.0727,8.0469,8.2218,35650.0,0.09999999999999964
2005-05-20 23:00:00,8.1426,8.1426,8.1426,8.1426,1.0,0.09999999999999964
2005-05-21 23:00:00,8.1399,8.1406,8.1343,8.1519,812.0,0.09999999999999964
2005-05-22 23:00:00,8.2103,8.1399,8.1369,8.2465,35788.0,0.025000000000000355
2005-05-23 23:00:00,8.2653,8.2109,8.1637,8.2754,41809.0,0.025000000000000355
2005-05-24 23:00:00,8.1591,8.2653,8.1427,8.2726,38782.0,0.025000000000000355
2005-05-25 23:00:00,8.2908,8.1591,8.1399,8.3053,38768.0,0.019999999999999574
2005-05-26 23:00:00,8.2083,8.2908,8.1965,8.3413,35574.0,0.09999999999999964
2005-05-27 23:00:00,8.2083,8.2083,8.2076,8.2083,7.0,0.09999999999999964
