time,close,open,low,high,volume,spread
2005-01-01 23:00:00,1.3575,1.3542,1.3508,1.3584,28.0,0.001000000000000112
2005-01-02 23:00:00,1.357,1.3575,1.3513,1.3615,13020.0,0.0005999999999999339
2005-01-03 23:00:00,1.3479,1.357,1.3422,1.3582,23588.0,0.0005999999999999339
2005-01-04 23:00:00,1.3433,1.3479,1.3386,1.3503,22851.0,0.000600000000000156
2005-01-05 23:00:00,1.3356,1.3433,1.3314,1.3479,22907.0,0.000600000000000156
2005-01-06 23:00:00,1.3378,1.3356,1.33,1.343,22650.0,0.0009999999999998899
2005-01-08 23:00:00,1.3364,1.3365,1.3363,1.337,76.0,0.0009999999999998899
2005-01-09 23:00:00,1.343,1.3366,1.3352,1.3493,18352.0,0.0005999999999999339
2005-01-10 23:00:00,1.3439,1.343,1.3405,1.3515,22026.0,0.0005999999999999339
2005-01-11 23:00:00,1.36,1.3439,1.3423,1.3655,22582.0,0.0005999999999999339
2005-01-12 23:00:00,1.3559,1.36,1.3494,1.3608,22169.0,0.0005999999999999339
2005-01-13 23:00:00,1.3446,1.3559,1.3398,1.3575,26084.0,0.0009999999999998899
2005-01-15 23:00:00,1.3455,1.3454,1.3438,1.3455,50.0,0.001000000000000112
2005-01-16 23:00:00,1.3413,1.3457,1.3398,1.3469,11285.0,0.000600000000000156
2005-01-17 23:00:00,1.3373,1.3413,1.3348,1.3433,22119.0,0.000600000000000156
2005-01-18 23:00:00,1.3301,1.3373,1.3244,1.3437,21915.0,0.0005999999999999339
2005-01-19 23:00:00,1.3272,1.3301,1.3248,1.3335,24138.0,0.000600000000000156
2005-01-20 23:00:00,1.3362,1.3272,1.3263,1.3409,19153.0,0.0009999999999998899
2005-01-21 23:00:00,1.3362,1.3361,1.3361,1.3363,14.0,0.0009999999999998899
2005-01-22 23:00:00,1.3368,1.3374,1.3365,1.3374,23.0,0.001000000000000112
2005-01-23 23:00:00,1.3323,1.3368,1.3311,1.3451,17885.0,0.0005999999999999339
2005-01-24 23:00:00,1.3271,1.3323,1.3214,1.3385,23121.0,0.000600000000000156
2005-01-25 23:00:00,1.3245,1.3271,1.3194,1.3291,24276.0,0.0005999999999999339
2005-01-26 23:00:00,1.3177,1.3245,1.3139,1.3271,24552.0,0.0005999999999999339
2005-01-27 23:00:00,1.3195,1.3177,1.3116,1.3213,21208.0,0.001000000000000112
2005-01-28 23:00:00,1.3195,1.3196,1.3195,1.3196,2.0,0.001000000000000112
2005-01-29 23:00:00,1.3176,1.3194,1.3176,1.3196,81.0,0.0009999999999998899
2005-01-30 23:00:00,1.3201,1.3176,1.316,1.3242,21961.0,0.0005999999999999339
2005-01-31 23:00:00,1.3249,1.3201,1.3188,1.3282,20843.0,0.0005999999999999339
2005-02-01 23:00:00,1.3202,1.3247,1.3183,1.3307,21244.0,0.0005999999999999339
2005-02-02 23:00:00,1.32,1.3202,1.3146,1.3239,20215.0,0.0005999999999999339
2005-02-03 23:00:00,1.3076,1.3199,1.3063,1.3221,21865.0,0.0009999999999998899
2005-02-04 23:00:00,1.3081,1.3077,1.3075,1.3081,88.0,0.0009999999999998899
2005-02-05 23:00:00,1.3091,1.3085,1.3079,1.3095,172.0,0.001000000000000112
2005-02-06 23:00:00,1.3078,1.3091,1.3045,1.3134,19093.0,0.0005999999999999339
2005-02-07 23:00:00,1.3211,1.3078,1.306,1.323,20616.0,0.000600000000000156
2005-02-08 23:00:00,1.3196,1.3211,1.3159,1.3229,18616.0,0.0005999999999999339
2005-02-09 23:00:00,1.3296,1.3197,1.3185,1.3332,20969.0,0.000600000000000156
2005-02-10 23:00:00,1.332,1.3295,1.3264,1.3334,17602.0,0.0009999999999998899
2005-02-11 23:00:00,1.332,1.332,1.332,1.332,2.0,0.0009999999999998899
2005-02-12 23:00:00,1.332,1.3309,1.3308,1.3321,16.0,0.0009999999999998899
2005-02-13 23:00:00,1.3291,1.3319,1.3238,1.3352,20414.0,0.000600000000000156
2005-02-14 23:00:00,1.3305,1.3291,1.3252,1.3331,22451.0,0.0005999999999999339
2005-02-15 23:00:00,1.3266,1.3305,1.3193,1.3341,24358.0,0.0005999999999999339
2005-02-16 23:00:00,1.3332,1.3266,1.3254,1.3375,21314.0,0.000600000000000156
2005-02-17 23:00:00,1.3307,1.3332,1.3278,1.3356,19121.0,0.001000000000000112
2005-02-19 23:00:00,1.3304,1.3305,1.3294,1.3306,168.0,0.0009999999999998899
2005-02-20 23:00:00,1.3277,1.3304,1.3245,1.3343,12699.0,0.0005999999999999339
2005-02-21 23:00:00,1.3267,1.3277,1.3192,1.3326,26597.0,0.0005999999999999339
2005-02-22 23:00:00,1.3071,1.3267,1.3051,1.3273,26793.0,0.000600000000000156
2005-02-23 23:00:00,1.3172,1.307,1.3025,1.3173,31069.0,0.000600000000000156
2005-02-24 23:00:00,1.3166,1.3172,1.312,1.318,23120.0,0.001000000000000112
2005-02-25 23:00:00,1.3166,1.3166,1.3166,1.3166,1.0,0.001000000000000112
2005-02-26 23:00:00,1.3159,1.3168,1.3157,1.3168,24.0,0.0009999999999998899
2005-02-27 23:00:00,1.3142,1.3155,1.3138,1.3245,22931.0,0.0005999999999999339
2005-02-28 23:00:00,1.3071,1.3143,1.3034,1.3175,24162.0,0.000600000000000156
2005-03-01 23:00:00,1.3117,1.307,1.3049,1.313,23138.0,0.0005999999999999339
2005-03-02 23:00:00,1.3093,1.3115,1.3013,1.3144,22822.0,0.000600000000000156
2005-03-03 23:00:00,1.3193,1.3093,1.3077,1.3213,22197.0,0.001000000000000112
2005-03-05 23:00:00,1.3191,1.3188,1.3188,1.3194,70.0,0.001000000000000112
2005-03-06 23:00:00,1.322,1.3192,1.317,1.3235,18284.0,0.0005999999999999339
2005-03-07 23:00:00,1.3369,1.322,1.3197,1.3373,24507.0,0.0005999999999999339
2005-03-08 23:00:00,1.3422,1.3369,1.3346,1.3487,27400.0,0.0005999999999999339
2005-03-09 23:00:00,1.3434,1.3422,1.3408,1.3502,26445.0,0.000600000000000156
2005-03-10 23:00:00,1.3416,1.3434,1.3362,1.348,24479.0,0.001000000000000112
2005-03-11 23:00:00,1.3417,1.3417,1.3417,1.3417,1.0,0.001000000000000112
2005-03-12 23:00:00,1.3425,1.342,1.3418,1.3428,49.0,0.0009999999999998899
2005-03-13 23:00:00,1.3441,1.3426,1.3401,1.3468,19561.0,0.0005999999999999339
2005-03-14 23:00:00,1.3468,1.3441,1.342,1.3516,21962.0,0.0005999999999999339
2005-03-15 23:00:00,1.3446,1.3468,1.3436,1.3501,23825.0,0.0005999999999999339
2005-03-16 23:00:00,1.3515,1.3446,1.3426,1.3549,22578.0,0.000600000000000156
2005-03-17 23:00:00,1.3505,1.3515,1.3462,1.3543,21431.0,0.0009999999999998899
2005-03-19 23:00:00,1.3497,1.3508,1.3497,1.3509,284.0,0.001000000000000112
2005-03-20 23:00:00,1.3449,1.3497,1.3424,1.3527,23640.0,0.0005999999999999339
2005-03-21 23:00:00,1.3561,1.3449,1.3443,1.3635,26156.0,0.0005999999999999339
2005-03-22 23:00:00,1.3524,1.3561,1.3471,1.3577,27344.0,0.0005999999999999339
2005-03-23 23:00:00,1.3538,1.3524,1.3473,1.3576,24399.0,0.0008000000000001339
2005-03-24 23:00:00,1.349,1.3538,1.3482,1.355,7404.0,0.001000000000000112
2005-03-26 23:00:00,1.3489,1.3488,1.3487,1.3491,194.0,0.001000000000000112
2005-03-28 00:00:00,1.3546,1.3489,1.3465,1.3561,14481.0,0.0005999999999999339
2005-03-29 00:00:00,1.365,1.3546,1.3538,1.3675,23751.0,0.0005999999999999339
2005-03-30 00:00:00,1.3571,1.365,1.3546,1.3674,23723.0,0.0005999999999999339
2005-03-31 00:00:00,1.3634,1.3571,1.3529,1.3654,23636.0,0.000600000000000156
2005-04-01 00:00:00,1.3651,1.3634,1.3603,1.3706,24511.0,0.001000000000000112
2005-04-03 00:00:00,1.3642,1.3642,1.3642,1.3643,53.0,0.0009999999999998899
2005-04-03 23:00:00,1.3626,1.3642,1.3615,1.369,20602.0,0.0005999999999999339
2005-04-04 23:00:00,1.3634,1.3626,1.3587,1.3649,23345.0,0.000600000000000156
2005-04-05 23:00:00,1.3573,1.3634,1.3558,1.3641,23740.0,0.000600000000000156
2005-04-06 23:00:00,1.3568,1.3573,1.3541,1.3591,23339.0,0.0005999999999999339
2005-04-07 23:00:00,1.3446,1.3568,1.3442,1.3572,25864.0,0.0009999999999998899
