maxEntries,longMean,shortMean,lookBack,profit,draw_down,sharpe,numberOfTransactions
10,8,2,4,45634.7,18225.618576581706,0.12932753645622674,219.0
10,8,3,4,46958.68,18271.81493657356,0.13317150797571975,230.0
10,8,4,4,50064.41,20617.550981424574,0.18092318382766318,241.0
10,8,5,4,37527.68,19619.50355080614,0.05031390615892139,231.0
10,8,6,4,26753.83,17897.961045642267,-0.07953853963146044,240.0
10,9,2,4,59038.07,19149.822522555245,0.2212574346631352,226.0
10,9,3,4,67489.91,23826.085296562524,0.26686754037072274,201.0
10,9,4,4,58930.85,16801.121179459617,0.23485197436692304,211.0
10,9,5,4,82416.39,28898.257996453496,0.3275520955223431,205.0
10,9,6,4,31165.31,30837.42605196219,-0.004266611308216136,202.0
10,10,2,4,69827.73,20605.564585557964,0.2875515458709883,224.0
10,10,3,4,75003.18,18679.476774102193,0.36187933872927724,203.0
10,10,4,4,96396.52,23397.53706461884,0.45145491045053465,202.0
10,10,5,4,94065.32,19671.493162018596,0.41348095214513286,198.0
10,10,6,4,38052.75,26865.09153412358,0.04791564202879361,194.0
10,11,2,4,91987.8,20595.686756318493,0.4073073025391591,215.0
10,11,3,4,65816.17,23342.72568817227,0.2496949813040855,208.0
10,11,4,4,95106.11,23285.130499999912,0.4133601674459665,200.0
10,11,5,4,105266.52,22760.060600000026,0.4559614916494165,206.0
10,11,6,4,68666.77,28864.192559090152,0.25074141398556854,183.0
10,12,2,4,102746.42,27968.418689999962,0.37899170910510355,221.0
10,12,3,4,66503.15,24778.8412259522,0.2421036682591335,206.0
10,12,4,4,120717.39,22538.495446003915,0.527007080099315,190.0
10,12,5,4,111989.66,21671.77992000006,0.4893616811795376,192.0
10,12,6,4,112880.66,27893.0371364163,0.4973128874132567,180.0
