index,time,close,open,low,high,volume,spread,hurst,half_life
15,2010-01-04 10:00:00,11.961,11.968,11.951,11.969,1587.0,0.0039999999999995,1000.0,0.0
39,2010-01-05 10:00:00,11.844,11.849,11.841,11.859,1538.0,0.0040000000000013,1000.0,0.0
63,2010-01-06 10:00:00,11.904,11.871,11.865,11.907,2045.0,0.0039999999999995,1000.0,0.0
87,2010-01-07 10:00:00,11.974,11.95,11.95,11.976,1688.0,0.0039999999999995,1000.0,0.0
111,2010-01-08 10:00:00,12.005,12.002,11.969,12.005,1997.0,0.0039999999999995,1000.0,0.0
140,2010-01-11 10:00:00,11.923,11.902,11.897,11.933,1234.0,0.0039999999999995,1000.0,0.0
164,2010-01-12 10:00:00,11.837,11.849,11.824,11.852,1892.0,0.0039999999999995,1000.0,0.0
188,2010-01-13 10:00:00,11.787,11.79,11.773,11.794,1998.0,0.0039999999999995,1000.0,0.0
212,2010-01-14 10:00:00,11.843,11.841,11.84,11.864,1451.0,0.0039999999999995,1000.0,0.0
236,2010-01-15 10:00:00,11.698,11.695,11.688,11.708,1448.0,0.0039999999999995,1000.0,0.0
264,2010-01-18 10:00:00,11.714,11.727,11.712,11.727,1005.0,0.0039999999999995,1000.0,0.0
288,2010-01-19 10:00:00,11.671,11.643,11.643,11.671,1838.0,0.0040000000000013,1000.0,0.0
312,2010-01-20 10:00:00,11.711,11.709,11.692,11.711,1682.0,0.0039999999999995,1000.0,0.0
336,2010-01-21 10:00:00,11.806,11.799,11.785,11.807,1570.0,0.0040000000000013,1000.0,0.0
360,2010-01-22 10:00:00,11.629,11.618,11.611,11.652,2190.0,0.0039999999999995,1000.0,0.0
390,2010-01-25 10:00:00,11.615,11.605,11.603,11.625,1287.0,0.0039999999999995,1000.0,0.0
414,2010-01-26 10:00:00,11.518,11.576,11.495,11.58,4542.0,0.0039999999999995,1000.0,0.0
438,2010-01-27 10:00:00,11.492,11.502,11.49,11.506,1616.0,0.0039999999999995,1000.0,0.0
462,2010-01-28 10:00:00,11.631,11.635,11.626,11.654,1990.0,0.0039999999999995,1000.0,0.0
486,2010-01-29 10:00:00,11.6,11.614,11.596,11.624,1551.0,0.0039999999999995,1000.0,0.0
515,2010-02-01 10:00:00,11.624,11.642,11.624,11.643,1034.0,0.0039999999999995,1000.0,0.0
539,2010-02-02 10:00:00,11.67,11.664,11.653,11.672,1415.0,0.0039999999999995,1000.0,0.0
563,2010-02-03 10:00:00,11.633,11.606,11.602,11.634,1527.0,0.0040000000000013,1000.0,0.0
587,2010-02-04 10:00:00,11.694,11.679,11.678,11.699,1407.0,0.0039999999999995,1000.0,0.0
611,2010-02-05 10:00:00,11.507,11.536,11.507,11.539,2591.0,0.0039999999999995,1000.0,0.0
641,2010-02-08 10:00:00,11.502,11.518,11.496,11.523,1422.0,0.0039999999999995,1000.0,0.0
665,2010-02-09 10:00:00,11.543,11.523,11.523,11.547,1336.0,0.0040000000000013,1000.0,0.0
689,2010-02-10 10:00:00,11.541,11.527,11.527,11.541,1019.0,0.0039999999999995,1000.0,0.0
713,2010-02-11 10:00:00,11.568,11.582,11.562,11.585,1332.0,0.0039999999999995,1000.0,0.0
737,2010-02-12 10:00:00,11.572,11.603,11.572,11.618,1827.0,0.0040000000000013,1000.0,0.0
767,2010-02-15 10:00:00,11.577,11.589,11.573,11.594,935.0,0.0039999999999995,1000.0,0.0
791,2010-02-16 10:00:00,11.576,11.567,11.567,11.583,1074.0,0.0039999999999995,1000.0,0.0
815,2010-02-17 10:00:00,11.662,11.633,11.629,11.665,2207.0,0.0039999999999995,1000.0,0.0
839,2010-02-18 10:00:00,11.689,11.702,11.681,11.71,1509.0,0.0039999999999995,1000.0,0.0
863,2010-02-19 10:00:00,11.816,11.811,11.802,11.82,1623.0,0.0039999999999995,1000.0,0.0
892,2010-02-22 10:00:00,11.777,11.794,11.777,11.797,47.0,0.0020000000000006,1000.0,0.0
916,2010-02-23 10:00:00,11.718,11.71,11.708,11.721,30.0,0.0020000000000006,1000.0,0.0
940,2010-02-24 10:00:00,11.608,11.606,11.588,11.611,56.0,0.0019999999999988,1000.0,0.0
964,2010-02-25 10:00:00,11.507,11.519,11.492,11.519,79.0,0.0020000000000006,1000.0,0.0
988,2010-02-26 10:00:00,11.495,11.506,11.49,11.506,53.0,0.0020000000000006,1000.0,0.0
1017,2010-03-01 10:00:00,11.498,11.504,11.495,11.506,21.0,0.0020000000000006,1000.0,0.0
1041,2010-03-02 10:00:00,11.465,11.474,11.449,11.483,94.0,0.0020000000000006,1000.0,0.0
1065,2010-03-03 10:00:00,11.428,11.42,11.411,11.433,56.0,0.0019999999999988,1000.0,0.0
1089,2010-03-04 10:00:00,11.399,11.385,11.382,11.407,48.0,0.0020000000000006,1000.0,0.0
1113,2010-03-05 10:00:00,11.495,11.5,11.49,11.503,25.0,0.0020000000000006,1000.0,0.0
1142,2010-03-08 10:00:00,11.626,11.631,11.623,11.637,35.0,0.0020000000000006,1000.0,0.0
1166,2010-03-09 10:00:00,11.564,11.582,11.551,11.585,87.0,0.0020000000000006,1000.0,0.0
1190,2010-03-10 10:00:00,11.636,11.627,11.625,11.647,54.0,0.0010000000000012,1000.0,0.0
1214,2010-03-11 10:00:00,11.664,11.661,11.655,11.664,18.0,0.0009999999999994,1000.0,0.0
1238,2010-03-12 10:00:00,11.638,11.664,11.638,11.672,40.0,0.0020000000000006,1000.0,0.0
1266,2010-03-15 10:00:00,11.687,11.689,11.684,11.698,32.0,0.0020000000000006,1000.0,0.0
1290,2010-03-16 10:00:00,11.672,11.66,11.658,11.672,19.0,0.0019999999999988,1000.0,0.0
1314,2010-03-17 10:00:00,11.673,11.673,11.67,11.686,51.0,0.0020000000000006,1000.0,0.0
