index,time,close,open,low,high,volume,spread,hurst,half_life
15,2010-01-04 10:00:00,7.07529,7.11867,7.0744,7.11867,2755.0,0.0034999999999998,1000.0,0.0
39,2010-01-05 10:00:00,7.0665,7.06257,7.05047,7.0698,1854.0,0.0030000000000001,1000.0,0.0
63,2010-01-06 10:00:00,7.09343,7.10683,7.09072,7.11128,2002.0,0.0040000000000004,1000.0,0.0
87,2010-01-07 10:00:00,7.1128,7.11751,7.09832,7.11845,1942.0,0.0025000000000003,1000.0,0.0
111,2010-01-08 10:00:00,7.13322,7.12066,7.1166,7.13358,1743.0,0.0022999999999999,1000.0,0.0
140,2010-01-11 10:00:00,7.02654,7.03471,7.01974,7.03539,1761.0,0.0030000000000001,1000.0,0.0
164,2010-01-12 10:00:00,7.06231,7.05069,7.04816,7.07479,2294.0,0.0030000000000001,1000.0,0.0
188,2010-01-13 10:00:00,7.04619,7.05696,7.04027,7.05901,2203.0,0.0030000000000001,1000.0,0.0
212,2010-01-14 10:00:00,7.01425,7.0286,6.99675,7.03005,2245.0,0.0022999999999999,1000.0,0.0
236,2010-01-15 10:00:00,7.02846,7.04391,7.02205,7.04437,1972.0,0.0025000000000003,1000.0,0.0
265,2010-01-18 10:00:00,7.03747,7.04321,7.03526,7.04501,1475.0,0.0022999999999999,1000.0,0.0
289,2010-01-19 10:00:00,7.06088,7.03585,7.03453,7.06154,1927.0,0.0019999999999997,1000.0,0.0
313,2010-01-20 10:00:00,7.12247,7.11783,7.10346,7.12276,2110.0,0.0018000000000002,1000.0,0.0
337,2010-01-21 10:00:00,7.21821,7.19915,7.19907,7.22455,3196.0,0.0023999999999997,1000.0,0.0
361,2010-01-22 10:00:00,7.18354,7.19714,7.18258,7.20591,2107.0,0.0025000000000003,1000.0,0.0
390,2010-01-25 10:00:00,7.20826,7.20953,7.20617,7.22182,1852.0,0.0018000000000002,1000.0,0.0
414,2010-01-26 10:00:00,7.28551,7.29393,7.27824,7.29569,3126.0,0.0022999999999999,1000.0,0.0
438,2010-01-27 10:00:00,7.28257,7.30701,7.27875,7.30701,2153.0,0.0025000000000003,1000.0,0.0
462,2010-01-28 10:00:00,7.26707,7.26531,7.2617,7.27545,1781.0,0.0019999999999997,1000.0,0.0
486,2010-01-29 10:00:00,7.33968,7.31926,7.31539,7.34238,2171.0,0.0029999999999992,1000.0,0.0
515,2010-02-01 10:00:00,7.30786,7.32577,7.30331,7.32606,2493.0,0.0021000000000004,1000.0,0.0
539,2010-02-02 10:00:00,7.24781,7.26231,7.24109,7.26838,1879.0,0.0021999999999993,1000.0,0.0
563,2010-02-03 10:00:00,7.19654,7.18794,7.18047,7.19883,2400.0,0.0021000000000004,1000.0,0.0
587,2010-02-04 10:00:00,7.32143,7.29911,7.29908,7.34624,2827.0,0.0024999999999995,1000.0,0.0
611,2010-02-05 10:00:00,7.47075,7.4477,7.43342,7.47202,3114.0,0.0021000000000004,1000.0,0.0
640,2010-02-08 10:00:00,7.41943,7.39895,7.39033,7.42294,2159.0,0.0022000000000002,1000.0,0.0
664,2010-02-09 10:00:00,7.37573,7.38947,7.35368,7.39034,2350.0,0.0025000000000003,1000.0,0.0
688,2010-02-10 10:00:00,7.31091,7.33732,7.30808,7.33839,2339.0,0.0021000000000004,1000.0,0.0
712,2010-02-11 10:00:00,7.26508,7.25612,7.2446,7.26828,2452.0,0.0019999999999997,1000.0,0.0
736,2010-02-12 10:00:00,7.28642,7.2413,7.23932,7.28878,2598.0,0.0022000000000002,1000.0,0.0
