index,time,close,open,low,high,volume,spread,hurst,half_life
16,2010-01-04 10:00:00,1.24577,1.24416,1.24415,1.24617,1257.0,0.00065,1000.0,0.0
40,2010-01-05 10:00:00,1.24266,1.24363,1.24182,1.24425,1463.0,0.0006499999999998,1000.0,0.0
64,2010-01-06 10:00:00,1.24618,1.24626,1.246,1.24755,928.0,0.0006699999999999,1000.0,0.0
88,2010-01-07 10:00:00,1.24946,1.24951,1.24898,1.25011,983.0,0.0006999999999999,1000.0,0.0
112,2010-01-08 10:00:00,1.25094,1.2526,1.25077,1.25331,696.0,0.00065,1000.0,0.0
142,2010-01-11 10:00:00,1.25866,1.25908,1.25801,1.25946,1096.0,0.00068,1000.0,0.0
166,2010-01-12 10:00:00,1.24933,1.25132,1.24846,1.25142,1483.0,0.0006299999999999,1000.0,0.0
190,2010-01-13 10:00:00,1.24692,1.24781,1.24681,1.24844,1162.0,0.00065,1000.0,0.0
214,2010-01-14 10:00:00,1.25163,1.25286,1.25063,1.25312,1132.0,0.00065,1000.0,0.0
238,2010-01-15 10:00:00,1.25395,1.25462,1.25364,1.25489,606.0,0.00065,1000.0,0.0
267,2010-01-18 10:00:00,1.25387,1.25411,1.25333,1.25434,475.0,0.0006599999999998,1000.0,0.0
291,2010-01-19 10:00:00,1.24963,1.25139,1.24949,1.25214,1312.0,0.00065,1000.0,0.0
315,2010-01-20 10:00:00,1.26178,1.2592,1.25886,1.26178,1606.0,0.00065,1000.0,0.0
339,2010-01-21 10:00:00,1.26762,1.26582,1.26486,1.26854,1856.0,0.0006399999999999,1000.0,0.0
363,2010-01-22 10:00:00,1.27069,1.26792,1.26744,1.2712,1402.0,0.0006499999999998,1000.0,0.0
392,2010-01-25 10:00:00,1.26991,1.26986,1.26923,1.27048,974.0,0.0006299999999999,1000.0,0.0
416,2010-01-26 10:00:00,1.26838,1.26601,1.26546,1.26868,1855.0,0.00065,1000.0,0.0
440,2010-01-27 10:00:00,1.27083,1.27114,1.26981,1.2719,1325.0,0.00065,1000.0,0.0
464,2010-01-28 10:00:00,1.26786,1.267,1.26628,1.26854,1110.0,0.00065,1000.0,0.0
488,2010-01-29 10:00:00,1.26363,1.26282,1.26207,1.26422,1308.0,0.0006299999999999,1000.0,0.0
518,2010-02-01 10:00:00,1.25822,1.25782,1.25749,1.25968,1235.0,0.0006000000000001,1000.0,0.0
542,2010-02-02 10:00:00,1.24466,1.24467,1.24433,1.24647,1384.0,0.0006299999999999,1000.0,0.0
566,2010-02-03 10:00:00,1.2463,1.24785,1.24577,1.24803,1334.0,0.0006300000000001,1000.0,0.0
590,2010-02-04 10:00:00,1.26416,1.26467,1.26372,1.26608,1722.0,0.00065,1000.0,0.0
614,2010-02-05 10:00:00,1.25624,1.25755,1.25604,1.25866,1750.0,0.00065,1000.0,0.0
644,2010-02-08 10:00:00,1.25865,1.2593,1.25689,1.25956,1439.0,0.0006199999999998,1000.0,0.0
668,2010-02-09 10:00:00,1.26262,1.26305,1.26161,1.2645,1480.0,0.00058,1000.0,0.0
692,2010-02-10 10:00:00,1.26237,1.26238,1.26171,1.26299,732.0,0.0005699999999999,1000.0,0.0
716,2010-02-11 10:00:00,1.26917,1.26899,1.26849,1.26981,1231.0,0.00055,1000.0,0.0
740,2010-02-12 10:00:00,1.27166,1.27384,1.27063,1.27526,1587.0,0.00058,1000.0,0.0
770,2010-02-15 10:00:00,1.27379,1.27334,1.27297,1.27534,866.0,0.0005699999999999,1000.0,0.0
794,2010-02-16 10:00:00,1.2711,1.27118,1.2709,1.27184,921.0,0.0005400000000002,1000.0,0.0
818,2010-02-17 10:00:00,1.27657,1.27582,1.27525,1.27703,832.0,0.0005699999999999,1000.0,0.0
842,2010-02-18 10:00:00,1.27957,1.27901,1.27875,1.27995,1213.0,0.0005799999999998,1000.0,0.0
866,2010-02-19 10:00:00,1.28047,1.28145,1.27992,1.28196,1306.0,0.0005999999999999,1000.0,0.0
895,2010-02-22 10:00:00,1.28286,1.28233,1.28216,1.28326,948.0,0.0005700000000001,1000.0,0.0
919,2010-02-23 10:00:00,1.28507,1.28417,1.28417,1.28576,1366.0,0.0005699999999999,1000.0,0.0
943,2010-02-24 10:00:00,1.28817,1.28748,1.28696,1.28875,2042.0,0.0005699999999999,1000.0,0.0
967,2010-02-25 10:00:00,1.28799,1.28742,1.28717,1.28858,1608.0,0.0005600000000001,1000.0,0.0
991,2010-02-26 10:00:00,1.28311,1.28187,1.28079,1.28323,1753.0,0.0005699999999999,1000.0,0.0
1021,2010-03-01 10:00:00,1.28662,1.28577,1.28551,1.28712,1022.0,0.0005499999999998,1000.0,0.0
1045,2010-03-02 10:00:00,1.29436,1.29441,1.29368,1.29626,2721.0,0.0005699999999999,1000.0,0.0
1069,2010-03-03 10:00:00,1.30209,1.30135,1.30056,1.30246,1660.0,0.0005699999999999,1000.0,0.0
1093,2010-03-04 10:00:00,1.30661,1.30522,1.3047,1.30681,1415.0,0.00058,1000.0,0.0
1117,2010-03-05 10:00:00,1.3086,1.30758,1.3074,1.30902,717.0,0.0005699999999999,1000.0,0.0
1146,2010-03-08 10:00:00,1.30053,1.30112,1.29978,1.30139,1020.0,0.00055,1000.0,0.0
1170,2010-03-09 10:00:00,1.30092,1.30083,1.29914,1.3016,2027.0,0.0005699999999999,1000.0,0.0
1194,2010-03-10 10:00:00,1.29727,1.29822,1.2965,1.29891,1523.0,0.0005700000000001,1000.0,0.0
1218,2010-03-11 10:00:00,1.30792,1.30873,1.30759,1.30902,1036.0,0.0005999999999999,1000.0,0.0
1242,2010-03-12 10:00:00,1.30696,1.30673,1.30626,1.30817,1210.0,0.00055,1000.0,0.0
1270,2010-03-15 10:00:00,1.30102,1.30053,1.29949,1.30123,1369.0,0.0005699999999999,1000.0,0.0
1294,2010-03-16 10:00:00,1.30056,1.30075,1.29985,1.30125,924.0,0.0005600000000001,1000.0,0.0
1318,2010-03-17 10:00:00,1.29283,1.29247,1.29134,1.29306,1173.0,0.0005600000000001,1000.0,0.0
1342,2010-03-18 10:00:00,1.28831,1.28795,1.28769,1.28939,1203.0,0.0005499999999998,1000.0,0.0
1366,2010-03-19 10:00:00,1.29291,1.2921,1.29185,1.29369,1341.0,0.00055,1000.0,0.0
1394,2010-03-22 10:00:00,1.29199,1.29241,1.29164,1.29309,1131.0,0.0005699999999999,1000.0,0.0
1418,2010-03-23 10:00:00,1.29647,1.29685,1.29533,1.29716,1236.0,0.00055,1000.0,0.0
1442,2010-03-24 10:00:00,1.29915,1.29957,1.2987,1.30041,1977.0,0.00055,1000.0,0.0
1466,2010-03-25 10:00:00,1.29195,1.29083,1.29036,1.29304,1366.0,0.00055,1000.0,0.0
1490,2010-03-26 10:00:00,1.28403,1.2843,1.28216,1.28479,1943.0,0.00055,1000.0,0.0
1517,2010-03-29 10:00:00,1.28682,1.28389,1.28365,1.28703,1385.0,0.0005599999999998,1000.0,0.0
1541,2010-03-30 10:00:00,1.2922,1.29208,1.291,1.29283,1754.0,0.00055,1000.0,0.0
1565,2010-03-31 10:00:00,1.291,1.28942,1.28914,1.2914,1092.0,0.00055,1000.0,0.0
1589,2010-04-01 10:00:00,1.30061,1.2997,1.29929,1.30162,1096.0,0.00055,1000.0,0.0
1613,2010-04-02 10:00:00,1.30028,1.29939,1.29916,1.30091,143.0,0.0004999999999999,1000.0,0.0
1641,2010-04-05 10:00:00,1.30694,1.30637,1.30592,1.30769,273.0,0.0004999999999999,1000.0,0.0
1665,2010-04-06 10:00:00,1.32073,1.3171,1.31664,1.32134,1287.0,0.0004999999999999,1000.0,0.0
1689,2010-04-07 10:00:00,1.31445,1.31498,1.31316,1.31523,911.0,0.0005000000000001,1000.0,0.0
1713,2010-04-08 10:00:00,1.31706,1.3144,1.31301,1.31739,1126.0,0.00055,1000.0,0.0
1737,2010-04-09 10:00:00,1.30649,1.30874,1.30587,1.30881,1471.0,0.0005000000000001,1000.0,0.0
1765,2010-04-12 10:00:00,1.29913,1.29894,1.29814,1.2999,821.0,0.0005000000000001,1000.0,0.0
1789,2010-04-13 10:00:00,1.29739,1.29818,1.2963,1.29855,780.0,0.0004999999999999,1000.0,0.0
1813,2010-04-14 10:00:00,1.30933,1.31143,1.30894,1.31217,1049.0,0.0004999999999999,1000.0,0.0
1837,2010-04-15 10:00:00,1.30691,1.30666,1.3064,1.30812,746.0,0.0004999999999999,1000.0,0.0
1861,2010-04-16 10:00:00,1.30539,1.30816,1.3049,1.30881,934.0,0.0004999999999999,1000.0,0.0
1888,2010-04-19 10:00:00,1.29615,1.29558,1.29476,1.29742,1066.0,0.0005000000000001,1000.0,0.0
1912,2010-04-20 10:00:00,1.30736,1.30859,1.30689,1.30915,1101.0,0.0004999999999999,1000.0,0.0
1936,2010-04-21 10:00:00,1.30933,1.30918,1.3083,1.30979,671.0,0.0004999999999999,1000.0,0.0
1960,2010-04-22 10:00:00,1.30299,1.30191,1.30167,1.30299,846.0,0.0004999999999999,1000.0,0.0
1984,2010-04-23 10:00:00,1.29568,1.294,1.29372,1.29665,1445.0,0.0005000000000001,1000.0,0.0
2012,2010-04-26 10:00:00,1.29086,1.29053,1.29052,1.29272,809.0,0.0005000000000001,1000.0,0.0
2036,2010-04-27 10:00:00,1.28078,1.28336,1.28063,1.28363,797.0,0.0005699999999999,1000.0,0.0
2060,2010-04-28 10:00:00,1.28826,1.28791,1.28633,1.28855,1528.0,0.0005999999999999,1000.0,0.0
2084,2010-04-29 10:00:00,1.28378,1.28574,1.28181,1.28649,1055.0,0.0005000000000001,1000.0,0.0
2108,2010-04-30 10:00:00,1.27921,1.27996,1.27921,1.28197,827.0,0.0004999999999999,1000.0,0.0
2135,2010-05-03 10:00:00,1.26874,1.27031,1.26874,1.27072,433.0,0.00055,1000.0,0.0
2159,2010-05-04 10:00:00,1.26103,1.2628,1.25932,1.26312,1093.0,0.0005999999999999,1000.0,0.0
2183,2010-05-05 10:00:00,1.26499,1.26161,1.26152,1.26643,2092.0,0.00055,1000.0,0.0
2207,2010-05-06 10:00:00,1.24668,1.2457,1.24417,1.247,1944.0,0.00055,1000.0,0.0
2231,2010-05-07 10:00:00,1.25222,1.2504,1.25004,1.25302,2869.0,0.0005999999999999,1000.0,0.0
2257,2010-05-10 10:00:00,1.24323,1.24318,1.24292,1.24503,1829.0,0.0006999999999999,1000.0,0.0
2281,2010-05-11 10:00:00,1.24774,1.2486,1.24633,1.24931,1714.0,0.0005499999999998,1000.0,0.0
