index,time,close,open,low,high,volume,spread,hurst,half_life
15,2010-01-04 10:00:00,1.68535,1.68118,1.68092,1.68636,1657.0,0.0005400000000002,1000.0,0.0
39,2010-01-05 10:00:00,1.66564,1.66684,1.66408,1.66833,1632.0,0.0004299999999999,1000.0,0.0
63,2010-01-06 10:00:00,1.6626,1.66586,1.66087,1.66714,1655.0,0.0005499999999998,1000.0,0.0
87,2010-01-07 10:00:00,1.64588,1.64083,1.6405,1.64719,1484.0,0.0004999999999999,1000.0,0.0
111,2010-01-08 10:00:00,1.6564,1.6548,1.6548,1.65681,1203.0,0.00051,1000.0,0.0
140,2010-01-11 10:00:00,1.66035,1.65578,1.65479,1.66053,1036.0,0.0005299999999999,1000.0,0.0
164,2010-01-12 10:00:00,1.6678,1.66338,1.66274,1.6678,1425.0,0.0004900000000001,1000.0,0.0
188,2010-01-13 10:00:00,1.68223,1.68345,1.67858,1.68424,2114.0,0.0004900000000001,1000.0,0.0
212,2010-01-14 10:00:00,1.67691,1.68026,1.67672,1.68122,1254.0,0.00045,1000.0,0.0
236,2010-01-15 10:00:00,1.6733,1.67608,1.67318,1.67637,1059.0,0.0004699999999999,1000.0,0.0
265,2010-01-18 10:00:00,1.67836,1.67994,1.67705,1.68145,1015.0,0.0004399999999999,1000.0,0.0
289,2010-01-19 10:00:00,1.68836,1.68274,1.68185,1.68988,2039.0,0.0004799999999998,1000.0,0.0
313,2010-01-20 10:00:00,1.69036,1.68622,1.68447,1.69152,1788.0,0.0004499999999998,1000.0,0.0
337,2010-01-21 10:00:00,1.69625,1.69813,1.69587,1.70127,2042.0,0.00045,1000.0,0.0
361,2010-01-22 10:00:00,1.69779,1.70328,1.6962,1.70372,1963.0,0.00045,1000.0,0.0
390,2010-01-25 10:00:00,1.70743,1.70413,1.70407,1.70784,1007.0,0.00045,1000.0,0.0
414,2010-01-26 10:00:00,1.71536,1.72357,1.71366,1.72449,2946.0,0.0004999999999999,1000.0,0.0
438,2010-01-27 10:00:00,1.72473,1.71927,1.71884,1.72547,1804.0,0.0004499999999998,1000.0,0.0
