index,time,close,open,low,high,volume,spread,hurst,half_life
15,2010-01-04 10:00:00,89.209,89.194,89.047,89.254,1907.0,0.0240000000000009,1000.0,0.0
39,2010-01-05 10:00:00,88.519,88.454,88.428,88.648,2264.0,0.0240000000000009,1000.0,0.0
63,2010-01-06 10:00:00,88.963,88.639,88.624,88.979,2728.0,0.0280000000000057,1000.0,0.0
87,2010-01-07 10:00:00,89.893,89.938,89.77,90.042,2720.0,0.0280000000000057,1000.0,0.0
111,2010-01-08 10:00:00,90.111,90.091,89.833,90.12,2256.0,0.0279999999999915,1000.0,0.0
141,2010-01-11 10:00:00,89.895,89.886,89.832,89.965,1545.0,0.0360000000000013,1000.0,0.0
165,2010-01-12 10:00:00,88.809,88.947,88.636,88.956,2144.0,0.0229999999999961,1000.0,0.0
189,2010-01-13 10:00:00,88.242,88.045,87.956,88.409,3199.0,0.0279999999999915,1000.0,0.0
213,2010-01-14 10:00:00,89.182,89.041,89.033,89.319,2146.0,0.0279999999999915,1000.0,0.0
237,2010-01-15 10:00:00,88.444,88.391,88.33,88.48,1586.0,0.0229999999999961,1000.0,0.0
265,2010-01-18 10:00:00,88.517,88.579,88.413,88.579,1151.0,0.0240000000000009,1000.0,0.0
289,2010-01-19 10:00:00,88.085,88.015,88.011,88.215,1997.0,0.0250000000000056,1000.0,0.0
313,2010-01-20 10:00:00,87.703,87.796,87.657,87.802,1750.0,0.0229999999999961,1000.0,0.0
337,2010-01-21 10:00:00,87.323,87.36,87.095,87.403,2538.0,0.0220000000000055,1000.0,0.0
361,2010-01-22 10:00:00,86.347,86.203,86.107,86.461,2571.0,0.0220000000000055,1000.0,0.0
390,2010-01-25 10:00:00,85.387,85.508,85.377,85.513,1463.0,0.0240000000000009,1000.0,0.0
414,2010-01-26 10:00:00,84.233,84.787,84.038,84.837,4235.0,0.0229999999999961,1000.0,0.0
438,2010-01-27 10:00:00,83.867,83.839,83.768,84.022,2327.0,0.0219999999999913,1000.0,0.0
462,2010-01-28 10:00:00,85.463,85.494,85.359,85.635,2516.0,0.0260000000000104,1000.0,0.0
