index,time,close,open,low,high,volume,spread,hurst,half_life
15,2010-01-04 10:00:00,7.50628,7.4792,7.47768,7.50717,1078.0,0.0003999999999999,1000.0,0.0
39,2010-01-05 10:00:00,7.54128,7.52847,7.52614,7.5462,943.0,0.0002999999999993,1000.0,0.0
63,2010-01-06 10:00:00,7.5084,7.49731,7.49596,7.51049,1038.0,0.0003000000000001,1000.0,0.0
87,2010-01-07 10:00:00,7.51292,7.51334,7.51106,7.52559,738.0,0.0002999999999993,1000.0,0.0
111,2010-01-08 10:00:00,7.49693,7.50394,7.49642,7.50509,702.0,0.0003000000000001,1000.0,0.0
141,2010-01-11 10:00:00,7.62839,7.62245,7.61549,7.62839,863.0,0.0003000000000001,1000.0,0.0
165,2010-01-12 10:00:00,7.61054,7.60957,7.60145,7.61144,725.0,0.0002999999999993,1000.0,0.0
189,2010-01-13 10:00:00,7.6087,7.59595,7.59558,7.61247,829.0,0.0003000000000001,1000.0,0.0
213,2010-01-14 10:00:00,7.60078,7.61216,7.59874,7.6163,634.0,0.0002999999999993,1000.0,0.0
237,2010-01-15 10:00:00,7.57402,7.56989,7.56657,7.57834,648.0,0.0003000000000001,1000.0,0.0
267,2010-01-18 10:00:00,7.56237,7.56779,7.55869,7.56875,530.0,0.0004000000000008,1000.0,0.0
291,2010-01-19 10:00:00,7.54386,7.57386,7.54386,7.57386,873.0,0.0003000000000001,1000.0,0.0
315,2010-01-20 10:00:00,7.46955,7.47738,7.46931,7.4869,928.0,0.0003000000000001,1000.0,0.0
339,2010-01-21 10:00:00,7.42053,7.42439,7.41359,7.42613,1070.0,0.0002999999999993,1000.0,0.0
363,2010-01-22 10:00:00,7.48574,7.46937,7.46485,7.48574,1110.0,0.0003000000000001,1000.0,0.0
393,2010-01-25 10:00:00,7.46156,7.46628,7.45408,7.46628,857.0,0.0002999999999993,1000.0,0.0
417,2010-01-26 10:00:00,7.45039,7.44383,7.44319,7.45603,1392.0,0.0003000000000001,1000.0,0.0
441,2010-01-27 10:00:00,7.42929,7.4134,7.41107,7.43232,899.0,0.0003000000000001,1000.0,0.0
465,2010-01-28 10:00:00,7.39656,7.40665,7.39529,7.40962,865.0,0.0003000000000001,1000.0,0.0
489,2010-01-29 10:00:00,7.39363,7.39795,7.3907,7.40396,975.0,0.0003000000000001,1000.0,0.0
519,2010-02-01 10:00:00,7.34184,7.33365,7.32953,7.34184,784.0,0.0002999999999993,1000.0,0.0
543,2010-02-02 10:00:00,7.3478,7.33916,7.33597,7.35038,552.0,0.0002999999999993,1000.0,0.0
567,2010-02-03 10:00:00,7.38675,7.37798,7.37798,7.39719,1017.0,0.0003000000000001,1000.0,0.0
591,2010-02-04 10:00:00,7.31642,7.31656,7.30686,7.31735,1002.0,0.0003000000000001,1000.0,0.0
615,2010-02-05 10:00:00,7.22965,7.23946,7.227,7.2513,1094.0,0.0002999999999993,1000.0,0.0
644,2010-02-08 10:00:00,7.24727,7.25611,7.24251,7.2616,712.0,0.0002999999999993,1000.0,0.0
668,2010-02-09 10:00:00,7.26977,7.26097,7.26049,7.27753,682.0,0.0002999999999993,1000.0,0.0
692,2010-02-10 10:00:00,7.29244,7.28605,7.28605,7.29703,670.0,0.0003000000000001,1000.0,0.0
716,2010-02-11 10:00:00,7.28347,7.2877,7.27911,7.29033,798.0,0.0002999999999993,1000.0,0.0
740,2010-02-12 10:00:00,7.1949,7.21691,7.19457,7.22319,883.0,0.0003000000000001,1000.0,0.0
770,2010-02-15 10:00:00,7.21396,7.20399,7.20293,7.2161,571.0,0.0003000000000001,1000.0,0.0
794,2010-02-16 10:00:00,7.23113,7.24041,7.22914,7.24136,568.0,0.0002999999999993,1000.0,0.0
818,2010-02-17 10:00:00,7.2693,7.28697,7.26744,7.28744,814.0,0.0002999999999993,1000.0,0.0
842,2010-02-18 10:00:00,7.1923,7.18622,7.17878,7.19834,986.0,0.0002999999999993,1000.0,0.0
866,2010-02-19 10:00:00,7.15241,7.15404,7.15216,7.16366,1103.0,0.0003000000000001,1000.0,0.0
895,2010-02-22 10:00:00,7.21401,7.2096,7.20606,7.22123,844.0,0.0012199999999999,1000.0,0.0
919,2010-02-23 10:00:00,7.21787,7.24045,7.2149,7.2418,1338.0,0.0012199999999999,1000.0,0.0
943,2010-02-24 10:00:00,7.17637,7.17169,7.16634,7.1766,876.0,0.0012099999999994,1000.0,0.0
967,2010-02-25 10:00:00,7.15705,7.15566,7.14764,7.16106,871.0,0.0011999999999998,1000.0,0.0
991,2010-02-26 10:00:00,7.21025,7.19978,7.1966,7.22133,1054.0,0.0012199999999999,1000.0,0.0
1021,2010-03-01 10:00:00,7.23375,7.2287,7.22689,7.24063,879.0,0.0012199999999999,1000.0,0.0
1045,2010-03-02 10:00:00,7.15464,7.15512,7.12967,7.1607,1741.0,0.0012000000000007,1000.0,0.0
1069,2010-03-03 10:00:00,7.23353,7.23025,7.22989,7.25026,1502.0,0.0012199999999999,1000.0,0.0
1093,2010-03-04 10:00:00,7.24052,7.24865,7.23964,7.24982,713.0,0.0012299999999996,1000.0,0.0
1117,2010-03-05 10:00:00,7.21134,7.21383,7.21044,7.22026,856.0,0.0012199999999999,1000.0,0.0
1147,2010-03-08 10:00:00,7.24575,7.24858,7.24363,7.25324,738.0,0.0012299999999996,1000.0,0.0
1171,2010-03-09 10:00:00,7.21268,7.21151,7.20202,7.21349,1200.0,0.0012199999999999,1000.0,0.0
1195,2010-03-10 10:00:00,7.20997,7.20071,7.19804,7.21554,1030.0,0.0012199999999999,1000.0,0.0
1219,2010-03-11 10:00:00,7.25166,7.24992,7.24338,7.2541,682.0,0.0012299999999996,1000.0,0.0
1243,2010-03-12 10:00:00,7.3148,7.28782,7.2846,7.31846,1096.0,0.0012499999999997,1000.0,0.0
1272,2010-03-15 10:00:00,7.31307,7.31937,7.30744,7.31937,815.0,0.0012500000000006,1000.0,0.0
1296,2010-03-16 10:00:00,7.32156,7.31351,7.31269,7.32232,584.0,0.0011099999999997,1000.0,0.0
1320,2010-03-17 10:00:00,7.36753,7.36373,7.36076,7.37032,1033.0,0.0011899999999993,1000.0,0.0
1344,2010-03-18 10:00:00,7.33921,7.33199,7.32666,7.34299,882.0,0.0011900000000002,1000.0,0.0
1368,2010-03-19 10:00:00,7.34169,7.34639,7.33715,7.3498,1076.0,0.0011900000000002,1000.0,0.0
1396,2010-03-22 10:00:00,7.32138,7.33629,7.31924,7.33629,912.0,0.0011799999999997,1000.0,0.0
1420,2010-03-23 10:00:00,7.322,7.31721,7.31403,7.32634,987.0,0.0012499999999997,1000.0,0.0
1444,2010-03-24 10:00:00,7.26576,7.27332,7.25165,7.28343,1659.0,0.0012299999999996,1000.0,0.0
1468,2010-03-25 10:00:00,7.24995,7.24881,7.24642,7.25664,1281.0,0.0011599999999996,1000.0,0.0
1492,2010-03-26 10:00:00,7.25909,7.26407,7.25157,7.26845,1044.0,0.0012300000000005,1000.0,0.0
1519,2010-03-29 10:00:00,7.30495,7.32499,7.30495,7.32559,859.0,0.0011100000000006,1000.0,0.0
1543,2010-03-30 10:00:00,7.31937,7.32202,7.3083,7.32202,1222.0,0.0011099999999997,1000.0,0.0
1567,2010-03-31 10:00:00,7.29867,7.28758,7.28665,7.29867,786.0,0.0011699999999992,1000.0,0.0
1591,2010-04-01 10:00:00,7.37867,7.3834,7.37165,7.38586,833.0,0.0012000000000007,1000.0,0.0
1615,2010-04-02 10:00:00,7.34645,7.34953,7.34624,7.35159,131.0,0.0014000000000002,1000.0,0.0
1643,2010-04-05 10:00:00,7.31066,7.31104,7.30358,7.31416,253.0,0.0013799999999992,1000.0,0.0
1667,2010-04-06 10:00:00,7.26843,7.27276,7.26755,7.27645,905.0,0.0008899999999991,1000.0,0.0
