index,time,close,open,low,high,volume,spread,hurst,half_life
16,2010-01-04 10:00:00,11.16649,11.12222,11.12157,11.16773,3139.0,0.0004000000000008,1000.0,0.0
40,2010-01-05 10:00:00,11.19336,11.18468,11.18087,11.19786,2542.0,0.0002999999999993,1000.0,0.0
64,2010-01-06 10:00:00,11.15018,11.1304,11.12753,11.15436,2798.0,0.0002999999999993,1000.0,0.0
88,2010-01-07 10:00:00,11.1317,11.13974,11.13008,11.15439,2179.0,0.0006000000000003,1000.0,0.0
112,2010-01-08 10:00:00,11.10907,11.11467,11.10745,11.1176,2136.0,0.000300000000001,1000.0,0.0
142,2010-01-11 10:00:00,11.26127,11.25941,11.24858,11.27176,2441.0,0.000300000000001,1000.0,0.0
166,2010-01-12 10:00:00,11.2378,11.23272,11.2213,11.23943,2638.0,0.0002999999999993,1000.0,0.0
190,2010-01-13 10:00:00,11.24534,11.23145,11.23075,11.25338,2838.0,0.0005999999999986,1000.0,0.0
214,2010-01-14 10:00:00,11.25159,11.26423,11.24891,11.27151,2108.0,0.0002999999999993,1000.0,0.0
238,2010-01-15 10:00:00,11.18461,11.17916,11.17439,11.19113,2007.0,0.0006000000000003,1000.0,0.0
268,2010-01-18 10:00:00,11.15709,11.15746,11.15013,11.15861,1547.0,0.0002999999999993,1000.0,0.0
292,2010-01-19 10:00:00,11.14209,11.17681,11.14186,11.17712,2618.0,0.0010000000000012,1000.0,0.0
316,2010-01-20 10:00:00,11.01696,11.02874,11.01696,11.04391,2918.0,0.000300000000001,1000.0,0.0
340,2010-01-21 10:00:00,10.92144,10.93813,10.91208,10.93909,3754.0,0.0002999999999993,1000.0,0.0
364,2010-01-22 10:00:00,11.00532,10.98735,10.98059,11.00786,3052.0,0.000300000000001,1000.0,0.0
394,2010-01-25 10:00:00,10.9917,10.99705,10.98142,10.99767,2525.0,0.000300000000001,1000.0,0.0
418,2010-01-26 10:00:00,10.95932,10.95154,10.94913,10.97025,4185.0,0.0002999999999993,1000.0,0.0
442,2010-01-27 10:00:00,10.93139,10.90826,10.90826,10.93662,2763.0,0.0002999999999993,1000.0,0.0
466,2010-01-28 10:00:00,10.89753,10.90722,10.8949,10.91196,2256.0,0.000300000000001,1000.0,0.0
490,2010-01-29 10:00:00,10.85035,10.85857,10.84958,10.8659,2717.0,0.0005999999999986,1000.0,0.0
520,2010-02-01 10:00:00,10.80898,10.7919,10.7919,10.80898,2679.0,0.0002999999999993,1000.0,0.0
544,2010-02-02 10:00:00,10.82224,10.81104,10.80615,10.82866,2058.0,0.0002999999999993,1000.0,0.0
568,2010-02-03 10:00:00,10.88048,10.87519,10.87519,10.89251,3041.0,0.0002999999999993,1000.0,0.0
592,2010-02-04 10:00:00,10.75586,10.76001,10.74324,10.76019,2989.0,0.0002999999999993,1000.0,0.0
616,2010-02-05 10:00:00,10.62758,10.64127,10.62567,10.65005,3189.0,0.0002999999999993,1000.0,0.0
646,2010-02-08 10:00:00,10.63999,10.64682,10.63348,10.65633,2286.0,0.000300000000001,1000.0,0.0
670,2010-02-09 10:00:00,10.66754,10.65854,10.65652,10.67978,2308.0,0.0005999999999986,1000.0,0.0
694,2010-02-10 10:00:00,10.70673,10.69268,10.69268,10.70949,2225.0,0.0002999999999993,1000.0,0.0
718,2010-02-11 10:00:00,10.68512,10.69355,10.6789,10.69535,2529.0,0.000300000000001,1000.0,0.0
742,2010-02-12 10:00:00,10.54283,10.58768,10.54085,10.59533,2736.0,0.0006000000000003,1000.0,0.0
772,2010-02-15 10:00:00,10.57658,10.56227,10.56087,10.57899,1455.0,0.0002999999999993,1000.0,0.0
796,2010-02-16 10:00:00,10.60449,10.61938,10.59999,10.62179,2092.0,0.0002999999999993,1000.0,0.0
820,2010-02-17 10:00:00,10.67933,10.70036,10.6759,10.7006,2668.0,0.0002999999999993,1000.0,0.0
844,2010-02-18 10:00:00,10.54144,10.53182,10.52249,10.54954,2902.0,0.000300000000001,1000.0,0.0
