maxEntradas,mediaLarga,mediaCorto,lookBack,beneficio,draw_down,sharpe,numeroTransacciones
10,8,2,4,34461.47,30368.770835871983,0.020744373360433953,814.0
10,8,3,4,33573.21,38179.81057750323,0.01747491284350846,901.0
10,8,4,4,21491.46,22886.564427881443,-0.07109809406482254,809.0
10,8,5,4,17903.44,25212.27553071454,-0.10606089542907268,890.0
10,8,6,4,51880.73,33653.89654371701,0.1475432121685538,791.0
10,9,2,4,53363.45,27815.723745981115,0.16474829654468717,819.0
10,9,3,4,40452.38,34102.03076977999,0.06359801097179323,804.0
10,9,4,4,49821.53,23457.738819663704,0.1279509938701435,861.0
10,9,5,4,42081.85,39054.133973147604,0.07008378185006806,907.0
10,9,6,4,35674.37,42613.07176009985,0.03191832451177289,810.0
10,10,2,4,55901.26,34468.65116004943,0.16178098954970369,790.0
10,10,3,4,69016.12,38477.134852922696,0.20750525556310062,842.0
10,10,4,4,42955.64,29578.82266613224,0.0738573827634801,852.0
10,10,5,4,36210.18,31173.373972175643,0.03635069442776037,792.0
10,10,6,4,13655.55,55852.66178022738,-0.10473110871412877,815.0
10,11,2,4,54409.53,38238.141929219186,0.13635956666020177,836.0
10,11,3,4,45898.36,47065.81255941291,0.08597799696130455,864.0
10,11,4,4,40371.63,40783.1868228034,0.058865586472215146,827.0
10,11,5,4,48177.35,32276.874134974496,0.10018837990052282,859.0
10,11,6,4,12566.15,50010.33706110215,-0.08505196767986484,828.0
10,12,2,4,13469.75,43302.26182162238,-0.0935317811351298,812.0
10,12,3,4,35614.61,47206.46633291693,0.03461921187371235,814.0
10,12,4,4,39300.13,41624.339351530245,0.05354017415561613,786.0
10,12,5,4,82166.26,37758.59992950701,0.236659263323521,901.0
10,12,6,4,9288.1,46715.14560040267,-0.12295482984764236,735.0
